fname,label,manually_verified
guitar_piece5202.wav,guitar,1
piano_piece9298.wav,piano,1
piano_piece82039.wav,piano,1
flute_piece10426.wav,flute,1
flute_piece59455.wav,flute,1
violin_piece96025.wav,violin,1
guitar_piece26714.wav,guitar,1
piano_piece53225.wav,piano,1
piano_piece55451.wav,piano,1
violin_piece96843.wav,violin,1
flute_piece18011.wav,flute,1
flute_piece67897.wav,flute,1
guitar_piece43147.wav,guitar,1
flute_piece34763.wav,flute,1
flute_piece33544.wav,flute,1
flute_piece52162.wav,flute,1
flute_piece63425.wav,flute,1
violin_piece48921.wav,violin,1
flute_piece32939.wav,flute,1
harp_piece70962.wav,harp,1
guitar_piece93278.wav,guitar,1
harp_piece52858.wav,harp,1
flute_piece64314.wav,flute,1
harp_piece85915.wav,harp,1
guitar_piece51676.wav,guitar,1
violin_piece95278.wav,violin,1
guitar_piece53601.wav,guitar,1
piano_piece55121.wav,piano,1
guitar_piece25328.wav,guitar,1
harp_piece49501.wav,harp,1
piano_piece55021.wav,piano,1
harp_piece7095.wav,harp,1
violin_piece84587.wav,violin,1
harp_piece79045.wav,harp,1
harp_piece49164.wav,harp,1
guitar_piece67126.wav,guitar,1
piano_piece47113.wav,piano,1
flute_piece93621.wav,flute,1
harp_piece16830.wav,harp,1
violin_piece77823.wav,violin,1
violin_piece73628.wav,violin,1
harp_piece44017.wav,harp,1
piano_piece69425.wav,piano,1
harp_piece84963.wav,harp,1
piano_piece779.wav,piano,1
flute_piece35392.wav,flute,1
piano_piece32066.wav,piano,1
violin_piece39738.wav,violin,1
guitar_piece54589.wav,guitar,1
guitar_piece6497.wav,guitar,1
violin_piece72634.wav,violin,1
harp_piece45759.wav,harp,1
violin_piece18573.wav,violin,1
guitar_piece3280.wav,guitar,1
piano_piece82616.wav,piano,1
violin_piece68995.wav,violin,1
harp_piece66785.wav,harp,1
harp_piece80584.wav,harp,1
harp_piece54582.wav,harp,1
violin_piece60350.wav,violin,1
guitar_piece69053.wav,guitar,1
piano_piece99939.wav,piano,1
flute_piece9432.wav,flute,1
guitar_piece61218.wav,guitar,1
harp_piece60206.wav,harp,1
harp_piece6467.wav,harp,1
harp_piece18500.wav,harp,1
piano_piece96509.wav,piano,1
piano_piece21038.wav,piano,1
piano_piece45640.wav,piano,1
flute_piece20868.wav,flute,1
flute_piece88596.wav,flute,1
piano_piece11900.wav,piano,1
harp_piece31059.wav,harp,1
piano_piece32080.wav,piano,1
violin_piece58190.wav,violin,1
piano_piece12270.wav,piano,1
guitar_piece67091.wav,guitar,1
piano_piece57299.wav,piano,1
harp_piece46992.wav,harp,1
flute_piece29246.wav,flute,1
harp_piece81514.wav,harp,1
guitar_piece53716.wav,guitar,1
piano_piece53688.wav,piano,1
harp_piece69507.wav,harp,1
piano_piece12082.wav,piano,1
guitar_piece4568.wav,guitar,1
flute_piece20850.wav,flute,1
guitar_piece80955.wav,guitar,1
flute_piece98780.wav,flute,1
guitar_piece55727.wav,guitar,1
guitar_piece98702.wav,guitar,1
violin_piece38651.wav,violin,1
piano_piece35140.wav,piano,1
harp_piece23447.wav,harp,1
violin_piece89926.wav,violin,1
violin_piece93629.wav,violin,1
guitar_piece27138.wav,guitar,1
flute_piece35137.wav,flute,1
flute_piece1238.wav,flute,1
piano_piece395.wav,piano,1
piano_piece14379.wav,piano,1
flute_piece31452.wav,flute,1
guitar_piece91452.wav,guitar,1
harp_piece5576.wav,harp,1
guitar_piece40934.wav,guitar,1
piano_piece73294.wav,piano,1
flute_piece39633.wav,flute,1
flute_piece15720.wav,flute,1
violin_piece99172.wav,violin,1
flute_piece19366.wav,flute,1
flute_piece90409.wav,flute,1
flute_piece91836.wav,flute,1
guitar_piece30926.wav,guitar,1
flute_piece52540.wav,flute,1
violin_piece46718.wav,violin,1
harp_piece8133.wav,harp,1
violin_piece70599.wav,violin,1
guitar_piece98826.wav,guitar,1
harp_piece92501.wav,harp,1
flute_piece39250.wav,flute,1
piano_piece9096.wav,piano,1
guitar_piece53375.wav,guitar,1
flute_piece1730.wav,flute,1
guitar_piece15356.wav,guitar,1
violin_piece90187.wav,violin,1
harp_piece89663.wav,harp,1
flute_piece57411.wav,flute,1
flute_piece46455.wav,flute,1
harp_piece10544.wav,harp,1
harp_piece39313.wav,harp,1
piano_piece79562.wav,piano,1
harp_piece16696.wav,harp,1
guitar_piece17721.wav,guitar,1
harp_piece82175.wav,harp,1
guitar_piece37042.wav,guitar,1
piano_piece93391.wav,piano,1
flute_piece89997.wav,flute,1
violin_piece97540.wav,violin,1
guitar_piece10566.wav,guitar,1
harp_piece96784.wav,harp,1
flute_piece17691.wav,flute,1
piano_piece98504.wav,piano,1
guitar_piece36367.wav,guitar,1
guitar_piece74560.wav,guitar,1
harp_piece25549.wav,harp,1
guitar_piece20183.wav,guitar,1
guitar_piece90263.wav,guitar,1
piano_piece63034.wav,piano,1
violin_piece73667.wav,violin,1
piano_piece84054.wav,piano,1
violin_piece11488.wav,violin,1
harp_piece82504.wav,harp,1
harp_piece58068.wav,harp,1
guitar_piece45849.wav,guitar,1
flute_piece39285.wav,flute,1
piano_piece34136.wav,piano,1
violin_piece62643.wav,violin,1
flute_piece63046.wav,flute,1
violin_piece15558.wav,violin,1
guitar_piece90318.wav,guitar,1
piano_piece21343.wav,piano,1
piano_piece64348.wav,piano,1
violin_piece54092.wav,violin,1
harp_piece17979.wav,harp,1
flute_piece4529.wav,flute,1
violin_piece13769.wav,violin,1
harp_piece27823.wav,harp,1
harp_piece50178.wav,harp,1
flute_piece96245.wav,flute,1
flute_piece18775.wav,flute,1
harp_piece79056.wav,harp,1
violin_piece29817.wav,violin,1
violin_piece50265.wav,violin,1
piano_piece86914.wav,piano,1
harp_piece10256.wav,harp,1
flute_piece63896.wav,flute,1
harp_piece21015.wav,harp,1
violin_piece14355.wav,violin,1
flute_piece96168.wav,flute,1
guitar_piece22540.wav,guitar,1
guitar_piece93346.wav,guitar,1
guitar_piece36328.wav,guitar,1
harp_piece28026.wav,harp,1
harp_piece60765.wav,harp,1
guitar_piece43991.wav,guitar,1
flute_piece85841.wav,flute,1
guitar_piece11535.wav,guitar,1
violin_piece96063.wav,violin,1
piano_piece39869.wav,piano,1
harp_piece66168.wav,harp,1
guitar_piece51046.wav,guitar,1
violin_piece39276.wav,violin,1
harp_piece2155.wav,harp,1
violin_piece64483.wav,violin,1
piano_piece69222.wav,piano,1
guitar_piece13931.wav,guitar,1
violin_piece27242.wav,violin,1
flute_piece60076.wav,flute,1
violin_piece74341.wav,violin,1
piano_piece69310.wav,piano,1
violin_piece85760.wav,violin,1
harp_piece7825.wav,harp,1
guitar_piece11945.wav,guitar,1
harp_piece28451.wav,harp,1
flute_piece91221.wav,flute,1
harp_piece99950.wav,harp,1
flute_piece56235.wav,flute,1
harp_piece74227.wav,harp,1
harp_piece71597.wav,harp,1
violin_piece53451.wav,violin,1
harp_piece73399.wav,harp,1
piano_piece64652.wav,piano,1
piano_piece58516.wav,piano,1
piano_piece31187.wav,piano,1
piano_piece24916.wav,piano,1
piano_piece45409.wav,piano,1
violin_piece64115.wav,violin,1
flute_piece53226.wav,flute,1
harp_piece42989.wav,harp,1
guitar_piece24214.wav,guitar,1
guitar_piece70874.wav,guitar,1
flute_piece6160.wav,flute,1
guitar_piece88606.wav,guitar,1
guitar_piece29618.wav,guitar,1
flute_piece34130.wav,flute,1
piano_piece26306.wav,piano,1
harp_piece32006.wav,harp,1
violin_piece32891.wav,violin,1
harp_piece68741.wav,harp,1
piano_piece92865.wav,piano,1
piano_piece53034.wav,piano,1
flute_piece20759.wav,flute,1
guitar_piece9790.wav,guitar,1
violin_piece19083.wav,violin,1
guitar_piece10471.wav,guitar,1
harp_piece26347.wav,harp,1
guitar_piece83300.wav,guitar,1
