fname,label,manually_verified
guitar_piece24251.wav,guitar,1
piano_piece63905.wav,piano,1
flute_piece21441.wav,flute,1
flute_piece41352.wav,flute,1
guitar_piece80137.wav,guitar,1
piano_piece52402.wav,piano,1
flute_piece20850.wav,flute,1
harp_piece89321.wav,harp,1
piano_piece54193.wav,piano,1
flute_piece61696.wav,flute,1
flute_piece28339.wav,flute,1
flute_piece12318.wav,flute,1
guitar_piece10311.wav,guitar,1
piano_piece2433.wav,piano,1
violin_piece14158.wav,violin,1
guitar_piece26816.wav,guitar,1
violin_piece17146.wav,violin,1
flute_piece19100.wav,flute,1
flute_piece90125.wav,flute,1
guitar_piece30128.wav,guitar,1
piano_piece86731.wav,piano,1
flute_piece52441.wav,flute,1
violin_piece61784.wav,violin,1
violin_piece37672.wav,violin,1
piano_piece6100.wav,piano,1
violin_piece22702.wav,violin,1
piano_piece47010.wav,piano,1
flute_piece73047.wav,flute,1
harp_piece79042.wav,harp,1
piano_piece84012.wav,piano,1
harp_piece38205.wav,harp,1
piano_piece53913.wav,piano,1
violin_piece83601.wav,violin,1
piano_piece13912.wav,piano,1
guitar_piece61869.wav,guitar,1
harp_piece45158.wav,harp,1
flute_piece79097.wav,flute,1
harp_piece32673.wav,harp,1
flute_piece82451.wav,flute,1
violin_piece75269.wav,violin,1
piano_piece27772.wav,piano,1
guitar_piece24975.wav,guitar,1
piano_piece21441.wav,piano,1
piano_piece90107.wav,piano,1
guitar_piece3846.wav,guitar,1
piano_piece81115.wav,piano,1
violin_piece29440.wav,violin,1
violin_piece80079.wav,violin,1
flute_piece11091.wav,flute,1
violin_piece61937.wav,violin,1
flute_piece54190.wav,flute,1
piano_piece14951.wav,piano,1
flute_piece18607.wav,flute,1
guitar_piece66276.wav,guitar,1
harp_piece74465.wav,harp,1
violin_piece81761.wav,violin,1
harp_piece6977.wav,harp,1
piano_piece60412.wav,piano,1
violin_piece78248.wav,violin,1
harp_piece43320.wav,harp,1
piano_piece6389.wav,piano,1
piano_piece5573.wav,piano,1
guitar_piece15031.wav,guitar,1
violin_piece6933.wav,violin,1
flute_piece74114.wav,flute,1
violin_piece20779.wav,violin,1
piano_piece248.wav,piano,1
guitar_piece37100.wav,guitar,1
harp_piece67097.wav,harp,1
flute_piece85732.wav,flute,1
flute_piece35874.wav,flute,1
violin_piece87441.wav,violin,1
harp_piece75851.wav,harp,1
piano_piece63497.wav,piano,1
guitar_piece53357.wav,guitar,1
flute_piece85272.wav,flute,1
guitar_piece23815.wav,guitar,1
harp_piece32253.wav,harp,1
guitar_piece88349.wav,guitar,1
guitar_piece23026.wav,guitar,1
guitar_piece96321.wav,guitar,1
harp_piece37619.wav,harp,1
harp_piece71903.wav,harp,1
piano_piece18488.wav,piano,1
guitar_piece85431.wav,guitar,1
guitar_piece34906.wav,guitar,1
flute_piece95608.wav,flute,1
violin_piece98269.wav,violin,1
piano_piece42819.wav,piano,1
harp_piece64362.wav,harp,1
flute_piece34941.wav,flute,1
flute_piece21415.wav,flute,1
